Dataset,ExecutionTime,MemoryUsage,FoundWeight,OptimalWeight,NumberNodes,Quality
eil51.tsp,0.340421,1522.32421875,623.1281256759754,426.0,51,1.4627420790515855
berlin52.tsp,0.339018,1522.32421875,10338.130168013373,7542.0,52,1.370741204987188
st70.tsp,0.361787,1520.35546875,933.6259571044627,675.0,70,1.3831495660806854
eil76.tsp,0.361302,1518.38671875,699.629832352113,538.0,76,1.3004271976805075
pr76.tsp,0.375733,1512.48046875,139133.87340794876,108159.0,76,1.2863827643372143
rat99.tsp,0.322558,1508.57421875,1678.7084292611225,1211.0,99,1.3862167045921738
kroA100.tsp,0.312617,1503.73828125,30182.04648062477,21282.0,100,1.418195962814809
kroB100.tsp,0.319104,1501.84375,27081.185545399498,22141.0,100,1.2231238672778781
kroC100.tsp,0.315549,1501.84375,27572.999261479625,20749.0,100,1.328883284084998
kroD100.tsp,0.317526,1501.84375,28400.335295068366,21294.0,100,1.3337247720047134
kroE100.tsp,0.307488,1501.84375,30661.276838527927,22068.0,100,1.389399892991115
rd100.tsp,0.319111,1501.84375,10896.788017972674,7910.0,100,1.377596462449137
eil101.tsp,0.399562,1501.84375,864.6385846967404,629.0,101,1.374624141012306
lin105.tsp,0.370977,1501.84765625,20200.430391476006,14379.0,105,1.4048564150132836
pr107.tsp,0.530348,1501.84765625,54238.03661175547,44303.0,107,1.2242520057728703
pr124.tsp,0.573171,1501.84765625,82379.43754032867,59030.0,124,1.3955520504883732
bier127.tsp,0.578113,1501.84765625,156042.22923010497,118282.0,127,1.3192390154892966
ch130.tsp,0.60282,1501.84765625,8294.7522108463,6110.0,130,1.3575699199421112
pr136.tsp,0.560048,1501.84765625,150346.85902553028,96772.0,136,1.5536194253041198
pr144.tsp,0.391193,1501.84765625,78720.7878671272,58537.0,144,1.344803933702226
ch150.tsp,0.418066,1501.84765625,8775.434474545507,6528.0,150,1.344276114360525
kroA150.tsp,0.403766,1501.84765625,38523.33609925721,26524.0,150,1.4523954192149455
kroB150.tsp,0.413242,1501.84765625,34831.84052810164,26130.0,150,1.333021068813687
pr152.tsp,0.408159,1501.84765625,89653.58680830056,73682.0,152,1.2167637524537955
