Dataset,ExecutionTime,MemoryUsage,FoundWeight,OptimalWeight,NumberNodes,Quality
eil51.tsp,0.262155,148.09765625,640.9012229251007,426.0,51,1.5044629646129124
berlin52.tsp,0.227774,148.17578125,10116.014495510826,7542.0,52,1.3412907047879643
st70.tsp,0.262585,148.76953125,873.3514856717352,675.0,70,1.293854052847015
eil76.tsp,0.217133,149.0703125,707.1533198611806,538.0,76,1.3144113752066555
pr76.tsp,0.290277,149.109375,145338.11445183848,108159.0,76,1.3437449907251222
rat99.tsp,0.180129,150.18359375,1723.2250451508614,1211.0,99,1.4229769158966652
kroA100.tsp,0.182947,150.2421875,27211.67972921635,21282.0,100,1.2786241767322784
kroB100.tsp,0.185858,150.30859375,25881.199893685625,22141.0,100,1.1689264212856523
kroC100.tsp,0.492133,150.30859375,27966.54136375163,20749.0,100,1.3478500825944204
kroD100.tsp,0.195264,150.31640625,27113.29664042698,21294.0,100,1.2732833962819095
kroE100.tsp,0.115814,150.31640625,30507.419046823474,22068.0,100,1.3824279067801102
rd100.tsp,0.123972,150.31640625,10791.655815950702,7910.0,100,1.3643054128888372
eil101.tsp,0.11977,150.328125,830.5422075548881,629.0,101,1.320416864157215
lin105.tsp,0.117243,150.48828125,19498.408788813624,14379.0,105,1.3560337150576274
pr107.tsp,0.130043,150.609375,54238.03661175547,44303.0,107,1.2242520057728703
pr124.tsp,0.150556,151.453125,74140.95964828487,59030.0,124,1.2559877968538857
bier127.tsp,0.163695,151.61328125,158637.60615918832,118282.0,127,1.341181296893765
ch130.tsp,0.162355,151.78125,8128.757281130948,6110.0,130,1.3304021736711864
pr136.tsp,0.185372,152.1484375,151913.74200165656,96772.0,136,1.5698109163978895
pr144.tsp,0.472242,152.62109375,80596.32004796875,58537.0,144,1.3768440481741249
ch150.tsp,0.38369,152.9765625,8333.472170089168,6528.0,150,1.2765735554670907
kroA150.tsp,0.446803,153.0234375,35122.56680105931,26524.0,150,1.3241806213640215
kroB150.tsp,0.432308,153.30078125,36154.73394030785,26130.0,150,1.3836484477729756
pr152.tsp,0.348968,153.3359375,87998.6939814051,73682.0,152,1.1943038188622066
u159.tsp,0.803144,153.6015625,57787.974410195486,42080.0,159,1.3732883652612995
rat195.tsp,0.696704,157.14453125,3317.723252056972,2323.0,195,1.428206307385696
d198.tsp,0.462953,157.76171875,19218.43305436619,15780.0,198,1.217898165675931
kroA200.tsp,1.376652,157.7890625,40030.86635119212,29368.0,200,1.363077715581317
kroB200.tsp,0.952807,157.7890625,40710.95987899587,29437.0,200,1.3829860338688
ts225.tsp,0.801772,159.7890625,188009.70162933244,126643.0,225,1.48456449728238
tsp225.tsp,0.815137,160.2109375,5115.932581284439,3919.0,225,1.305417856923817
pr226.tsp,0.758034,160.03515625,116692.15371518278,80369.0,226,1.4519547800169565
gil262.tsp,0.481144,163.58984375,3358.1541767582894,2378.0,262,1.4121758522953278
pr264.tsp,0.484491,163.875,66466.8417493333,49135.0,264,1.3527392235541527
